"","X.1","X","X50_50","bad_behaviour_card","ball_receipt_outcome","ball_recovery_recovery_failure","block_deflection","block_offensive","block_save_block","carry_end_location","clearance_aerial_won","clearance_body_part","clearance_head","clearance_left_foot","clearance_other","clearance_right_foot","counterpress","dribble_outcome","dribble_overrun","duel_outcome","duel_type","duration","foul_committed_advantage","foul_committed_card","foul_committed_offensive","foul_committed_type","foul_won_advantage","foul_won_defensive","goalkeeper_body_part","goalkeeper_end_location","goalkeeper_outcome","goalkeeper_position","goalkeeper_technique","goalkeeper_type","id","index","injury_stoppage_in_chain","interception_outcome","location","match_id","minute","miscontrol_aerial_won","obv_against_after","obv_against_before","obv_against_net","obv_for_after","obv_for_before","obv_for_net","obv_total_net","off_camera","out","pass_aerial_won","pass_angle","pass_assisted_shot_id","pass_body_part","pass_cross","pass_cut_back","pass_end_location","pass_height","pass_inswinging","pass_length","pass_no_touch","pass_outcome","pass_outswinging","pass_pass_cluster_id","pass_pass_cluster_label","pass_pass_cluster_probability","pass_pass_success_probability","pass_recipient","pass_shot_assist","pass_switch","pass_technique","pass_through_ball","pass_type","period","play_pattern","player","player_id","position","possession","possession_team","possession_team_id","related_events","second","shot_aerial_won","shot_body_part","shot_deflected","shot_end_location","shot_first_time","shot_freeze_frame","shot_gk_positioning_xg_suppression","shot_gk_save_difficulty_xg","shot_gk_shot_stopping_xg_suppression","shot_key_pass_id","shot_one_on_one","shot_outcome","shot_shot_execution_xg","shot_shot_execution_xg_uplift","shot_statsbomb_xg","shot_technique","shot_type","substitution_outcome","substitution_replacement","tactics","team","team_id","timestamp","type","under_pressure","pass_goal_assist","shot_open_goal","shot_shot_goal_assist","ball_recovery_offensive","foul_committed_penalty","shot_shot_shot_assist","goalkeeper_shot_saved_to_post","shot_saved_to_post","dribble_nutmeg","foul_won_penalty","goalkeeper_punched_out","pass_deflected","pass_miscommunication","pass_straight","half_start_late_video_start","goalkeeper_shot_saved_off_target","shot_redirect","shot_saved_off_target","dribble_no_touch","goalkeeper_success_in_play","goalkeeper_success_out","player_off_permanent","goalkeeper_lost_out","shot_follows_dribble","goalkeeper_lost_in_play","shot_kick_off","spad_x","spad_y"
"1",3549,13396,"","","","","","",NA,"","","","","",NA,"","","","","","",2.622121,"","","","","","",NA,NA,NA,NA,NA,NA,"f8b72377-19cf-4c86-9f28-c0a70d485046",104,"","","[86.2, 46.6]",3902009,1,"",0.0058109006,0.010140185,-0.0043292847,0.010598898,0.030650746,-0.020051848,-0.015722563,"","","",0.3862058,"","Right Foot","","","[119.4, 60.1]","Low Pass","",35.839783,"","Out","",20,"Midfield third - Right - Forwards - Short - High Pass",0.6581014559,0.5796561241,"Devon Titus","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",5,"Stellenbosch FC",3710,"['b61776dc-aaa7-434c-895f-0b0f744ad8e8', 'c42f126d-a81f-41a5-970d-724af9d54790']",49,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:01:49.664","Pass","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",74.6633333333333,28.4325
"2",3552,13412,"","","","","","",NA,"","","","","",NA,"","","","","","",1.194185,"","","","","","",NA,NA,NA,NA,NA,NA,"ff5fcc7d-1a1c-4992-b76a-2755a63dd6a3",162,"","","[88.4, 38.0]",3902009,3,"",0.010307006,0.009766175,0.0005408302,0.030928295,0.03899505,-0.008066755,-0.008607585,"","","",1.7818897,"2f1365ef-94d9-4962-8682-8bd02866e67e","Right Foot","","","[86.0, 49.2]","Ground Pass","",11.454257,"","","",2,"Attacking third - Center - To right - Short - Ground Pass",0.9996600776,0.9329842925,"Devon Titus","True","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",7,"Stellenbosch FC",3710,"['a9dcfed2-a6af-451d-a547-e0a9ad111ee8', 'cb443b30-9ca7-442c-8017-a25bcce6251f']",16,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:03:16.299","Pass","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",76.57,35.7425
"3",3559,13489,"","","","","","",NA,"","","","","",NA,"","","","","","",2.020471,"","","","","","",NA,NA,NA,NA,NA,NA,"36b3f486-4fe3-450f-875d-ebe48546fc52",413,"","","[82.0, 4.7]",3902009,9,"",0.01029581,0.008753329,0.0015424816,0.01364732,0.020415219,-0.006767899,-0.00831038,"","","",3.0309355,"","Right Foot","","","[63.1, 6.8]","Ground Pass","",19.01631,"","","",32,"Midfield third - Left - To right - Short - Ground Pass",0.9331710072,0.9908362627,"Fawaaz Basadien","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",18,"Stellenbosch FC",3710,"['aba2ed86-4d65-4e17-ac7c-98eb7364ff30']",25,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:09:25.102","Pass","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",71.0233333333333,64.0475
"4",3562,13529,"","","","","","",NA,"","","","","",NA,"","","","","","",1.137539,"","","","","","",NA,NA,NA,NA,NA,NA,"a2aa0950-3dc4-4917-8142-69136b051b5e",538,"","","[64.0, 18.8]",3902009,11,"",0.009705694,0.0095640505,0.0001416439,0.014364535,0.01825245,-0.0038879141,-0.004029558,"","","",-1.9890207,"","Right Foot","","","[58.0, 5.3]","Ground Pass","",14.773287,"","","",27,"Midfield third - Left - To left - Short - Ground Pass",0.9910784854,0.9767692089,"Fawaaz Basadien","","","","","",1,"From Goal Kick","Iqraam Rayners",66719,"Center Forward",21,"Stellenbosch FC",3710,"['8e650cc0-690d-4b28-8847-45788bf2fcd6']",49,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:11:49.477","Pass","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",55.4233333333333,52.0625
"5",3566,13636,"","","","","","",NA,"","","","","",NA,"","","","","","",1.115128,"","","","","","",NA,NA,NA,NA,NA,NA,"34bb1c99-6e91-41cb-9a9d-621084679013",927,"","","[86.5, 40.0]",3902009,24,"",0.009284429,0.008970414,0.000314015,0.048037317,0.03254746,0.015489858,0.015175843,"","","",0.8020237,"","Right Foot","","","[107.2, 61.4]","Ground Pass","",29.77331,"","","",8,"Midfield third - Center - To right - Short - Ground Pass",0.8851237963,0.779782474,"Genino Palace","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",39,"Stellenbosch FC",3710,"['daa350d9-ff8d-45fd-ac3d-77bf0c80407a']",34,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:24:34.935","Pass","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",74.9233333333333,34.0425
"6",3570,13683,"","","","","","",NA,"","","","","",NA,"","","","","","",1.320586,"","","","","","",NA,NA,NA,NA,NA,NA,"74491fb1-030f-494b-bb23-a7f0baa08106",1085,"","","[85.8, 42.1]",3902009,30,"",0.009055332,0.009756284,-0.0007009516,0.035679862,0.030847648,0.0048322137,0.0055331653,"","","",0.96299434,"a5a28144-d91e-41f0-8805-fbf76d8d0c6c","Right Foot","","","[98.6, 60.5]","Ground Pass","",22.414282,"","","",2,"Attacking third - Center - To right - Short - Ground Pass",0.5966602082,0.8488140106,"Devon Titus","True","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",48,"Stellenbosch FC",3710,"['a36bfd7e-4586-4ee0-b6c2-38584021579a']",22,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:30:22.318","Pass","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",74.3166666666667,32.2575
"7",3575,13702,"","","","","","",NA,"","","","","",NA,"","","","","","",1.831705,"","","","","","",NA,NA,NA,NA,NA,NA,"a9694227-aa6f-4dd9-a9dd-0cd1d22d5838",1150,"","","[98.9, 24.7]",3902009,32,"",0.008666174,0.009150217,-0.0004840437,0.0396681,0.045107476,-0.0054393746,-0.004955331,"","","",2.20234,"","Right Foot","","","[91.0, 35.5]","High Pass","",13.380957,"","","",7,"Attacking third - Left - To right - Short - Ground Pass",0.6010016293,0.565699935,"Jayden Adams","","","","","",1,"From Free Kick","Iqraam Rayners",66719,"Center Forward",50,"Stellenbosch FC",3710,"['6c7b8549-4d1c-459e-a703-35cf24686890', 'd108a61a-7178-4309-a05e-61a1fdffa59a']",24,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:32:24.261","Pass","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",85.67,47.0475
"8",3585,13754,"","","","","","",NA,"","","","","",NA,"","","","","","",1.593434,"","","","","","",NA,NA,NA,NA,NA,NA,"bd2529c5-69e8-4f1f-965d-c797c19661db",1346,"","","[89.8, 4.3]",3902009,37,"",0.008702746,0.00783278,0.0008699661,0.026814494,0.020719735,0.0060947593,0.005224793,"","","",1.8269477,"","Right Foot","","","[86.5, 16.9]","Ground Pass","",13.024976,"","","",49,"Attacking third - Left - Backwards - Short - Ground Pass",0.994139447,0.8697689176,"Sihle Nduli","","","","","",1,"From Goal Kick","Iqraam Rayners",66719,"Center Forward",62,"Stellenbosch FC",3710,"['0ab34bc4-fa9b-4509-9e2a-bb3f66837eac', '506f9a07-62fa-46ad-93ee-c2164b30314d']",54,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:37:54.556","Pass","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",77.7833333333333,64.3875
"9",3589,13786,"","","","","","",NA,"","","","","",NA,"","","","","","",1.526595,"","","","","","",NA,NA,NA,NA,NA,NA,"f6bee14e-e891-438c-8b9d-453817f88069",1447,"","","[93.2, 76.7]",3902009,40,"",0.009128773,0.008656028,0.0004727449,0.015865786,0.023457408,-0.007591622,-0.008064367,"","","",3.1154206,"","Right Foot","","","[74.1, 77.2]","Ground Pass","",19.106543,"","","",55,"Attacking third - Right - Backwards - Short - Ground Pass",0.8630403546,0.9599613547,"Dean David van Rooyen","","","","","",1,"From Throw In","Iqraam Rayners",66719,"Center Forward",65,"Stellenbosch FC",3710,"['20b4caca-79a4-44b8-8e37-c3a043f3b99f']",13,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:40:13.191","Pass","","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",80.73,2.8475
"10",3593,13815,"","","","","","",NA,"","","","","",NA,"","","","","","",1.879724,"","","","","","",NA,NA,NA,NA,NA,NA,"bf3c45ae-56e3-4d55-86ef-c645803f2ffc",1529,"","","[63.9, 58.8]",3902009,42,"",0.010043101,0.010576434,-0.000533333,0.020405123,0.016615143,0.00378998,0.004323313,"","","True",-1.0445002,"","","","","[70.0, 48.3]","Low Pass","",12.143311,"","","",51,"Midfield third - Right - To left - Short - Ground Pass",0.817228567,0.5370486975,"Anicet Alain Oura","","","","","",1,"From Throw In","Iqraam Rayners",66719,"Center Forward",69,"Stellenbosch FC",3710,"['8c585050-1aad-4fb7-9826-3ade18f446b5', '93a0843e-9b9d-4e4b-9258-9d5f9a6fbca5']",34,"","","","","","",NA,NA,NA,"","","",NA,NA,NA,"","","","",NA,"Stellenbosch FC",3710,"00:42:34.619","Pass","True","","","","","","",NA,"","","",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"",55.3366666666667,18.0625
