player_name,team_name,player_season_minutes,primary_position,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_obv_pass_90,player_season_op_xa_90,player_season_op_key_passes_90,player_season_touches_inside_box_90,player_season_obv_dribble_carry_90,player_season_turnovers_90,player_season_padj_pressures_90,player_season_aerial_wins_90,player_season_counterpressure_regains_90
Lucas Ribeiro Costa,Mamelodi Sundowns FC,816.65,Centre Forward,0.14152188102404276,0.37431857,2.6449518,0.7714443,0.044794913,0.2638876,0.7714443,5.4001102,0.101436704,4.6286654,23.01065,0.66123796,0.33061898
Zakhele Lerato Lepasa,Orlando Pirates FC,614.8166,Centre Forward,0.10030652227855864,0.308351,3.0740874,0.43915537,-0.061527885,0.06097267,0.87831074,6.148175,-0.0015283643,3.513243,19.656326,1.3174661,0.29277024
Gabadinho Hellings Frank Mhango,Swallows FC,704.63336,Left Centre Forward,0.05964632261367071,0.15998611,2.682246,0.255452,-0.0013671999,0.06551649,1.021808,3.7040539,0.0471704,3.959506,14.997592,2.171342,0.383178
Mxolisi Macuphu,Royal AM FC,899.5999,Centre Forward,0.17398197310311453,0.24368308,1.4006226,0.30013344,-0.12944846,0.021748,0.40017793,5.80258,0.006051009,2.2009785,9.905613,1.5006671,0.0
Augustine Chidi Kwem,AmaZulu FC,683.9833,Centre Forward,0.1743658951350621,0.64241636,3.6843007,0.78949296,-0.014544015,0.031158965,0.5263287,8.947587,0.015761545,3.947465,19.4221,3.0263898,0.13158217
Peter Shalulile,Mamelodi Sundowns FC,803.35,Centre Forward,0.22753151257832846,0.45883,2.0165558,0.44812348,-0.033477947,0.14170183,1.1203088,7.8421607,-0.05989862,2.4646792,19.8755,0.5601544,0.22406174
Ryan Moon,Lamontville Golden Arrows FC,814.1666,Centre Forward,0.08676990866661072,0.15346818,1.7686796,0.22108495,0.05681473,0.14335994,0.99488235,5.1954966,0.09115889,2.7635622,7.537006,5.1954966,0.110542476
Ruzaigh Gamildien,Royal AM FC,291.01666,Centre Forward,0.1084308127562205,0.20120029,1.8555639,0.30926064,-0.056367993,0.020098021,0.6185213,2.474085,-0.030747788,3.0926065,6.896857,0.92778194,0.0
Kagiso Joseph Malinga,Swallows FC,838.9,Left Centre Forward,0.026686238615136398,0.054396793,2.0383835,0.0,-0.015869217,0.11932642,0.8582667,2.789367,0.003851271,3.9694836,17.918148,2.5748003,0.21456668
Evidence Makgopa,Orlando Pirates FC,842.5166,Centre Forward,0.22168868780136108,0.28417692,1.2818738,0.42729127,-0.10265708,0.062251505,0.5341141,5.8752556,-0.07969942,4.059267,33.300594,3.3115075,0.5341141
Bradley Grobler,SuperSport United FC,1155.7333,Centre Forward,0.1550291005302878,0.41046587,2.6476698,0.46723583,0.027571218,0.0850451,1.1680896,7.6315184,-0.0437994,2.7255423,9.97921,6.5413017,0.15574527
Iqraam Rayners,Stellenbosch FC,1179.25,Centre Forward,0.11577552556991577,0.3534381,3.0527878,0.38159847,-0.016092688,0.13177298,1.1447954,7.4030104,-0.009560832,4.96078,11.142404,0.91583633,0.15263939
Ashley Du Preez,Kaizer Chiefs FC,786.7833,Right Wing,0.08468073606491089,0.15498582,1.830237,0.114389814,0.05899851,0.11074545,1.2582879,3.660474,0.021882275,3.088525,14.521556,0.22877963,0.34316945
Tshegofatso Mabasa,Swallows FC,1193.3833,Right Centre Forward,0.11217274449088356,0.18611123,1.6591485,0.45249504,-0.060129803,0.06321428,0.9049901,4.374119,-0.04466283,3.4691286,15.489402,1.8099802,0.22624752
Menzi Banele Ndwandwe,Chippa United FC,339.1667,Centre Forward,0.05812019854784012,0.12338046,2.12285,0.0,-0.21626975,0.008924654,0.26535624,7.6953316,-0.031930987,4.2457,18.512928,4.2457,0.5307125
Justice Figuaredo,Richards Bay FC,781.0666,Centre Forward,0.08835265182313465,0.21379294,2.419768,0.11522705,-0.010479577,0.104052566,0.9218164,5.300444,0.04211322,5.991807,17.312857,1.1522706,0.0
Samir Nurkovic,TS Galaxy FC,436.95,Centre Forward,0.16180720696082482,0.4332634,2.677652,0.8238929,0.0016636526,0.022559235,0.41194645,5.355304,-0.027597241,5.76725,16.445574,5.14933,0.41194645
Elmo Kambindu,Chippa United FC,486.86667,Centre Forward,0.11897170543670654,0.26391095,2.2182665,0.5545666,-0.05750804,0.059394296,1.1091332,6.1002326,-0.06989776,5.7305217,23.076794,3.3273997,0.0
Khanyisa Mayo,Cape Town City FC,1102.7,Centre Forward,0.1330726363442161,0.35841638,2.6933892,0.4897071,-0.012386274,0.049984723,0.57132494,4.6522174,-0.0013117065,2.6933892,10.57497,3.0198605,0.08161785
Douglas Mapfumo,Polokwane City,1003.7833,Centre Forward,0.06480940010236658,0.13364981,2.062198,0.17932157,-0.052609496,0.08427934,1.2552509,5.6486297,0.0029813373,3.4967709,10.4871,5.2899866,0.35864314
Chibuike Ohizu,Sekhukhune United,1188.35,Centre Forward,0.12045659224192301,0.27368435,2.272058,0.30294105,-0.034345135,0.058605123,1.0602938,5.377204,-0.058379862,4.1654396,14.47162,3.0294106,0.5301469
Sede Junior Dion,AmaZulu FC,590.2834,Centre Forward,0.12354096122409987,0.43323225,3.5067902,0.3049383,-0.027966928,0.028966364,0.6098766,6.4037037,-0.00011985479,1.9820988,12.00462,3.9641976,0.3049383
Sedwyn Curtis George,Royal AM FC,391.01666,Centre Forward,0.057643603194843636,0.14594561,2.5318615,0.0,-0.06058509,0.09998448,1.3810153,6.214569,-0.06552659,2.7620306,15.855612,3.4525385,0.23016922
Lungelo Nguse,Lamontville Golden Arrows FC,533.0833,Centre Forward,0.22782550917731392,0.34617227,1.5194623,0.6753166,-0.045880858,0.0040943683,0.16882914,2.8700955,-0.0005855837,4.5583873,13.907177,6.2466784,0.16882914
Joaquim Cristóvão Paciência,Cape Town City FC,542.76666,Centre Forward,0.07068271296364921,0.16408564,2.3214395,0.16581711,-0.07114136,0.011761406,0.49745134,4.8086963,0.03221138,2.6530738,15.008212,0.9949027,0.33163422
Ronaldo Claudio Maarman,Chippa United FC,902.9667,Centre Forward,0.11448154449462891,0.28526354,2.4917862,0.1993429,-0.011587356,0.04419173,0.69770014,4.584887,0.008785512,4.7842298,23.537725,0.49835724,0.69770014
Yanela Xolisani Mbuthuma,Richards Bay FC,756.38336,Centre Forward,0.07737819353739421,0.16572638,2.141771,0.0,-0.080847315,0.14291576,1.6658219,6.9012623,-0.027420526,4.8784785,15.446721,3.807593,0.47594914
Lesiba William Nku,Mamelodi Sundowns FC,426.53333,Right Centre Forward,0.15091718326915393,0.3502845,2.3210378,0.4220069,0.06595631,0.13321275,1.0550172,5.697093,0.1137853,2.7430446,27.866875,0.4220069,0.6330103
Etiosa Godspower Ighodaro,SuperSport United FC,640.73334,Centre Forward,0.12869448131985134,0.48807758,3.792529,0.5618562,-0.012665107,0.16792053,1.5451046,7.4445944,0.15852264,3.3711371,20.012093,8.989699,0.42139214
Ranga Piniel Chivaviro,Kaizer Chiefs FC,540.0,Centre Forward,0.07259327918291092,0.19358209,2.6666665,0.3333333,-0.05915353,0.015644388,0.3333333,5.166667,-0.03452784,2.5,15.188055,2.6666665,0.3333333
Efmamjjasond González Palacios,Kaizer Chiefs FC,338.36667,Centre Forward,0.04931371808052063,0.065583214,1.3299181,0.0,-0.056671914,0.0697704,0.7979509,4.7877054,0.004373716,4.2557383,19.555185,1.5959018,0.5319673
Therlo Moosa,Cape Town Spurs,1013.0334,Centre Forward,0.09756658293984154,0.1906964,1.9545258,0.17768417,-0.108816445,0.011316192,0.44421044,6.39663,-0.06536787,3.6425257,18.051136,6.2189465,0.17768417
Hlayisi Chauke,Polokwane City,488.03333,Centre Forward,0.18862534761428834,0.17392543,0.9220682,0.0,-0.119842805,0.031708196,0.73765457,4.6103406,0.011488962,3.8726864,13.850777,1.2908955,0.18441364
Lehlohonolo Bradley Mojela,TS Galaxy FC,852.5167,Centre Forward,0.12499829439016488,0.17154855,1.3724071,0.10556978,0.029696984,0.09294497,0.7389884,4.328361,0.15710379,4.4339304,27.628986,0.6334187,0.7389884
Ashley Cupido,Cape Town Spurs,703.6333,Left Centre Forward,0.12420246912085492,0.36538792,2.9418733,0.3837226,-0.052314814,0.05487934,0.7674452,6.6511917,0.09236733,3.1976883,17.467339,0.8953527,0.2558151
Luke Junio Baartman,Cape Town Spurs,449.3,Centre Forward,0.09222765763600667,0.16626842,1.8028044,0.4006232,-0.04517498,0.044973847,1.001558,4.607167,0.033361502,2.6040509,9.781646,1.2018696,0.2003116
