"","X50_50","bad_behaviour_card","ball_receipt_outcome","ball_recovery_recovery_failure","block_deflection","block_save_block","carry_end_location","clearance_aerial_won","clearance_body_part","clearance_head","clearance_left_foot","clearance_other","clearance_right_foot","counterpress","dribble_nutmeg","dribble_outcome","dribble_overrun","duel_outcome","duel_type","duration","foul_committed_advantage","foul_committed_card","foul_committed_offensive","foul_committed_type","foul_won_advantage","foul_won_defensive","goalkeeper_body_part","goalkeeper_end_location","goalkeeper_outcome","goalkeeper_position","goalkeeper_technique","goalkeeper_type","id","index","interception_outcome","location","match_id","minute","miscontrol_aerial_won","obv_against_after","obv_against_before","obv_against_net","obv_for_after","obv_for_before","obv_for_net","obv_total_net","off_camera","out","pass_aerial_won","pass_angle","pass_assisted_shot_id","pass_body_part","pass_cross","pass_end_location","pass_goal_assist","pass_height","pass_inswinging","pass_length","pass_outcome","pass_outswinging","pass_pass_cluster_id","pass_pass_cluster_label","pass_pass_cluster_probability","pass_pass_success_probability","pass_recipient","pass_shot_assist","pass_straight","pass_switch","pass_technique","pass_through_ball","pass_type","period","play_pattern","player","player_id","position","possession","possession_team","possession_team_id","related_events","second","shot_aerial_won","shot_body_part","shot_end_location","shot_first_time","shot_freeze_frame","shot_gk_positioning_xg_suppression","shot_gk_save_difficulty_xg","shot_gk_shot_stopping_xg_suppression","shot_key_pass_id","shot_outcome","shot_shot_execution_xg","shot_shot_execution_xg_uplift","shot_shot_shot_assist","shot_statsbomb_xg","shot_technique","shot_type","substitution_outcome","substitution_replacement","tactics","team","team_id","timestamp","type","under_pressure","injury_stoppage_in_chain","pass_cut_back","pass_deflected","pass_miscommunication","pass_no_touch","shot_one_on_one","block_offensive","goalkeeper_punched_out","goalkeeper_shot_saved_off_target","shot_saved_off_target","shot_deflected","shot_open_goal","shot_shot_goal_assist","ball_recovery_offensive","foul_committed_penalty","goalkeeper_shot_saved_to_post","shot_saved_to_post","foul_won_penalty","half_start_late_video_start","shot_redirect","dribble_no_touch","goalkeeper_lost_out","goalkeeper_success_in_play","player_off_permanent","goalkeeper_success_out","shot_follows_dribble","goalkeeper_lost_in_play","shot_kick_off","spad_x","spad_y"
"3","","","","","","","","","","","","","","","","","","","",3.476705,"","","","","","","","","","","","","2d7a561e-af11-4757-9118-eb214018a671",912,"","[4.3, 68.7]",3902054,23,"",0.008989022,0.0151547855,-0.0061657634,0.019754818,0.0053432914,0.014411527,0.02057729,"","","",0.042037636,"48def1a2-0a4a-4075-ac76-d208aa56bc07","Right Foot","","[78.0, 71.8]","","High Pass","",73.76517,"","",54,"Defensive third - Center - Forwards - Long - High Pass",0.8208364487,0.3700822294,"Ashley Du Preez","True","","","Through Ball","True","",1,"Regular Play","Reeve Frosler",65550,"Right Back",41,"Kaizer Chiefs FC",3709,"['022c7f1b-3d77-41c8-b679-d4a5c82fd60e', 'aa8b7df8-cc35-4670-9bc7-f28bba4794ff']",49,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Kaizer Chiefs FC",3709,"00:23:49.650","Pass","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.29333333333333,10.03
"4","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","022c7f1b-3d77-41c8-b679-d4a5c82fd60e",913,"","[78.0, 71.8]",3902054,23,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",41,"Kaizer Chiefs FC",3709,"['2d7a561e-af11-4757-9118-eb214018a671']",53,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Kaizer Chiefs FC",3709,"00:23:53.127","Ball Receipt*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67.1666666666667,7.395
"5","","","","","","","[103.0, 53.3]","","","","","","","","","","","","",4.909869,"","","","","","","","","","","","","98fb5164-dd30-477f-84ed-8514d957d91e",914,"","[78.0, 71.8]",3902054,23,"",0.008829293,0.008989022,-0.0001597293,0.06679415,0.019754818,0.047039334,0.04719906,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",41,"Kaizer Chiefs FC",3709,"['022c7f1b-3d77-41c8-b679-d4a5c82fd60e', '48def1a2-0a4a-4075-ac76-d208aa56bc07']",53,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Kaizer Chiefs FC",3709,"00:23:53.127","Carry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67.1666666666667,7.395
"6","","","","","","","","","","","","","","","","","","","",1.476556,"","","","","","","","","","","","","48def1a2-0a4a-4075-ac76-d208aa56bc07",915,"","[103.0, 53.3, 0.0]",3902054,23,"",0.008829293,0.008829293,0,0,0.06679415,-0.06679415,-0.06679415,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Ashley Du Preez",66714,"Center Forward",41,"Kaizer Chiefs FC",3709,"['5d07131f-3b72-4172-9954-e64ef7e76484']",58,"","Right Foot","[120.0, 44.9, 2.0]","","[{'location': [101.7, 50.2], 'player': {'id': 406891, 'name': 'Ayanda Jiyane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 49.5], 'player': {'id': 134557, 'name': 'Hugo Claude Patrick Nyamé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",-0.0373030603,NA,NA,"2d7a561e-af11-4757-9118-eb214018a671","Off T",0,-0.1366516501,"",0.13665165,"Lob","Open Play","","","","Kaizer Chiefs FC",3709,"00:23:58.037","Shot","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","",88.8333333333333,22.7375
"8","","","","","","","","","","","","","","","","","","","",1.021869,"","","","","","","","","","","","","ef73be25-fd56-4042-94b5-ec3a9e98c2c6",1192,"","[88.8, 40.6]",3902009,33,"",0.009910165,0.009744512,0.0001656534,0.053778615,0.037647426,0.016131189,0.015965534,"","","",-0.7288547,"21353d82-e130-49c7-9bb6-1c773abd61f0","Right Foot","","[97.2, 33.1]","","Ground Pass","",11.260995,"","",56,"Attacking third - Center - To left - Short - Ground Pass",0.9954271272,0.7662196755,"Iqraam Rayners","True","","","","","Recovery",1,"Regular Play","Devon Titus",74483,"Right Wing",55,"Stellenbosch FC",3710,"['60aedd25-a27c-4ed7-a160-e751805ac8d0']",12,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Stellenbosch FC",3710,"00:33:12.178","Pass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",76.5266666666667,33.915
"9","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","60aedd25-a27c-4ed7-a160-e751805ac8d0",1193,"","[97.2, 33.1]",3902009,33,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",55,"Stellenbosch FC",3710,"['ef73be25-fd56-4042-94b5-ec3a9e98c2c6']",13,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Stellenbosch FC",3710,"00:33:13.200","Ball Receipt*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",83.8066666666667,40.29
"10","","","","","","","[101.4, 37.6]","","","","","","","","","","","","",1.032532,"","","","","","","","","","","","","d19fb8a4-9c8a-4742-8940-cda1a5100631",1194,"","[97.2, 33.1]",3902009,33,"",0.008718519,0.009910165,-0.0011916468,0.08500932,0.053778615,0.031230707,0.032422353,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",55,"Stellenbosch FC",3710,"['21353d82-e130-49c7-9bb6-1c773abd61f0', '5c3174d1-7462-4811-8cf2-8ddf1f3074fe', '60aedd25-a27c-4ed7-a160-e751805ac8d0']",13,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Stellenbosch FC",3710,"00:33:13.200","Carry","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","",83.8066666666667,40.29
"71","","","","","","","","","","","","","","","","","","","",1.158811,"","","","","","","","","","","","","21353d82-e130-49c7-9bb6-1c773abd61f0",1196,"","[101.4, 37.6, 0.0]",3902009,33,"",0.008718519,0.008718519,0,0,0.08500932,-0.08500932,-0.08500932,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",1,"Regular Play","Iqraam Rayners",66719,"Center Forward",55,"Stellenbosch FC",3710,"['020a38fd-bd1e-4182-bb51-4d7248872474', '5c3174d1-7462-4811-8cf2-8ddf1f3074fe']",14,"","Right Foot","[120.0, 46.8, 7.1]","","[{'location': [63.0, 53.8], 'player': {'id': 68611, 'name': 'Dean David van Rooyen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [66.5, 9.2], 'player': {'id': 65785, 'name': 'Fawaaz Basadien'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [70.7, 32.4], 'player': {'id': 65278, 'name': 'Sihle Nduli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [73.8, 44.3], 'player': {'id': 202033, 'name': 'Genino Palace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.9, 36.1], 'player': {'id': 65761, 'name': 'Jayden Adams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [88.9, 21.2], 'player': {'id': 404690, 'name': 'Anicet Alain Oura'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.3, 43.8], 'player': {'id': 74483, 'name': 'Devon Titus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.9, 38.7], 'player': {'id': 65549, 'name': 'Veli Mothwa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.9, 43.6], 'player': {'id': 64598, 'name': 'Mbongeni Gumede'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [74.3, 31.5], 'player': {'id': 134583, 'name': 'Rowan Lancaster Human'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [80.0, 47.4], 'player': {'id': 65277, 'name': 'Celimpilo Ngema'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.9, 38.5], 'player': {'id': 64599, 'name': 'Ben Motshwari'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.1, 24.9], 'player': {'id': 69296, 'name': 'Ethan Duncan Brooks'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [75.4, 58.8], 'player': {'id': 65555, 'name': 'Riaan Hanamub'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [94.3, 12.4], 'player': {'id': 65545, 'name': 'Ramahlwe Mphahlele'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [73.6, 2.6], 'player': {'id': 64616, 'name': 'Wayde  Jooste'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.1, 22.3], 'player': {'id': 65740, 'name': 'Abbubaker Mobara'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",-0.2463544905,NA,NA,"ef73be25-fd56-4042-94b5-ec3a9e98c2c6","Off T",0,-0.403508991,"",0.403509,"Normal","Open Play","","","","Stellenbosch FC",3710,"00:33:14.232","Shot","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","",87.4466666666667,36.0825
"310","","","","","","","","","","","","","","","","","","","",1.834184,"","","","","","","","","","","","","b7e81179-cc94-4bbc-b547-c61813fded90",1821,"","[63.2, 29.2]",3902009,50,"",0.009243513,0.009662187,-0.0004186733,0.076999985,0.021189123,0.05581086,0.056229535,"","","",0.25943398,"2f30fdeb-3df6-4581-ab34-f7f24a209395","Right Foot","","[100.5, 39.1]","","Ground Pass","",38.59145,"","",13,"Midfield third - Left - Forwards - Short - High Pass",0.7911376127,0.4829097688,"Iqraam Rayners","True","","","Through Ball","True","Recovery",2,"From Goal Kick","Jayden Adams",65761,"Left Center Midfield",84,"Stellenbosch FC",3710,"['08c36598-c8f0-4fc8-b32d-5f9e76504e4f']",29,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Stellenbosch FC",3710,"00:05:29.448","Pass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",54.34,43.605
"410","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","08c36598-c8f0-4fc8-b32d-5f9e76504e4f",1822,"","[100.5, 39.1]",3902009,50,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","","","","","","",NA,"","",NA,"",NA,NA,"","","","","","","",2,"From Goal Kick","Iqraam Rayners",66719,"Center Forward",84,"Stellenbosch FC",3710,"['b7e81179-cc94-4bbc-b547-c61813fded90']",31,"","","","","",NA,NA,NA,"","",NA,NA,"",NA,"","","","","","Stellenbosch FC",3710,"00:05:31.282","Ball Receipt*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",86.6666666666667,35.19
