,player,shot_statsbomb_xg,shot_body_part,shot_outcome,start_x,start_y
0,Ashley Cupido,0.0066569573,Right Foot,Blocked,78.25999999999999,21.037499999999994
1,Ashley Cupido,0.02357588,Right Foot,Blocked,92.56,19.5925
2,Ashley Cupido,0.08555579,Right Foot,Off T,93.34,38.0375
3,Ashley Cupido,0.032399,Head,Blocked,92.12666666666668,34.7225
4,Ashley Cupido,0.009659062,Right Foot,Saved,90.74,51.5525
5,Ashley Cupido,0.025268767,Right Foot,Saved,86.06,47.5575
6,Ashley Cupido,0.14598003,Left Foot,Goal,92.56,36.6775
7,Ashley Cupido,0.08551419,Right Foot,Goal,84.84666666666668,33.7025
8,Ashley Cupido,0.05781001,Left Foot,Blocked,85.62666666666667,34.9775
9,Ashley Cupido,0.041542586,Head,Saved,91.78,33.9575
10,Ashley Cupido,0.051690407,Right Foot,Blocked,93.51333333333334,30.8125
11,Ashley Cupido,0.045110237,Head,Blocked,94.81333333333336,34.2125
12,Ashley Cupido,0.06411572,Right Foot,Off T,88.83333333333333,25.4575
13,Ashley Cupido,0.21071953,Right Foot,Blocked,93.6,32.0025
14,Ashley Cupido,0.08776564,Right Foot,Post,98.97333333333331,27.3275
15,Ashley Cupido,0.02665756,Left Foot,Blocked,92.38666666666668,47.8975
16,Ashley Cupido,0.062132813,Right Foot,Off T,97.15333333333332,39.3975
17,Ashley Cupido,0.055931862,Right Foot,Blocked,91.52,24.4375
18,Ashley Cupido,0.007374641,Right Foot,Off T,74.27333333333334,43.9025
19,Ashley Cupido,0.07245485,Right Foot,Off T,99.84,40.5875
20,Ashley Cupido,0.046674475,Right Foot,Blocked,91.52,43.5625
21,Ashley Cupido,0.13993593,Left Foot,Saved,89.87333333333333,30.302499999999995
22,Ashley Cupido,0.07702919,Right Foot,Off T,95.42,46.0275
23,Ashley Cupido,0.050636794,Right Foot,Blocked,95.42,45.4325
24,Ashley Cupido,0.36643952,Left Foot,Goal,99.66666666666669,38.2925
25,Ashley Cupido,0.05234574,Head,Wayward,96.02666666666669,28.7725
26,Ashley Cupido,0.035757538,Left Foot,Saved Off Target,84.41333333333334,23.162499999999994
27,Ashley Cupido,0.05996816,Right Foot,Blocked,94.55333333333331,24.777500000000003
28,Ashley Cupido,0.48843846,Right Foot,Goal,91.69333333333331,33.107499999999995
29,Ashley Cupido,0.043398716,Right Foot,Off T,90.13333333333334,47.1325
30,Ashley Cupido,0.22975776,Right Foot,Off T,99.66666666666669,30.6425
31,Ashley Cupido,0.33854237,Right Foot,Goal,98.71333333333334,37.1025
32,Ashley Cupido,0.029853912,Right Foot,Blocked,85.36666666666666,47.3875
33,Ashley Cupido,0.01447082,Right Foot,Blocked,90.22,48.9175
34,Ashley Cupido,0.025461728,Right Foot,Blocked,90.22,20.8675
35,Ashley Cupido,0.090823375,Right Foot,Blocked,98.88666666666668,28.6875
36,Ashley Cupido,0.02962779,Left Foot,Blocked,95.42,21.887500000000003
37,Ashley Cupido,0.16809241,Left Foot,Goal,93.08,43.477500000000006
38,Ashley Cupido,0.22004107,Right Foot,Off T,93.42666666666666,28.0075
39,Ashley Cupido,0.42388546,Head,Goal,97.06666666666666,32.59749999999999
40,Ashley Cupido,0.13231172,Right Foot,Saved,95.85333333333332,43.3075
41,Ashley Cupido,0.053787876,Left Foot,Wayward,102.00666666666666,41.4375
42,Ashley Cupido,0.27737656,Right Foot,Saved,88.14,40.0775
43,Ashley Cupido,0.13927616,Right Foot,Saved,94.29333333333332,23.5025
44,Ashley Cupido,0.03063522,Right Foot,Saved,89.52666666666667,20.6125
45,Ashley Cupido,0.03504617,Left Foot,Wayward,101.14,43.3075
46,Ashley Cupido,0.072974384,Right Foot,Off T,93.08,42.0325
47,Ashley Cupido,0.2031198,Right Foot,Off T,93.42666666666666,42.8825
48,Ashley Cupido,0.030571328,Left Foot,Off T,84.67333333333333,22.3975
