player_name,team_name,player_season_minutes,primary_position,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_obv_pass_90,player_season_op_xa_90,player_season_op_key_passes_90,player_season_touches_inside_box_90,player_season_obv_dribble_carry_90,player_season_turnovers_90,player_season_padj_pressures_90,player_season_aerial_wins_90,player_season_counterpressure_regains_90,through_balls_received,through_balls_per_90
Kermit Romeo Erasmus,Orlando Pirates FC,1061.4333,Centre Forward,0.0923550868856495,0.22709553,2.458939,0.16958201,-0.04703764,0.17360204,1.3566561,5.7657886,0.0039855978,1.7806112,12.400579,0.508746,0.33916402,9.0,0.7631190336810216
Bonfilscaleb Bimenyimana,Kaizer Chiefs FC,989.69995,Centre Forward,0.1234027445316314,0.3590986,2.909973,0.63655657,-0.04450377,0.12980178,1.545923,7.1839957,0.11212319,2.2734163,13.30467,1.2731131,0.1818733,16.0,1.4549864477106063
Mwape Musonda,Swallows FC,534.4499,Right Centre Forward,0.1205291237149919,0.28415516,2.3575642,0.3367949,-0.057879567,0.04935678,1.0103847,6.5675006,-0.100262396,6.399103,11.473141,4.7151284,0.16839746,3.0,0.5051923671495632
Lehlohonolo Michael Majoro,AmaZulu FC,607.14996,Left Centre Forward,0.135565439860026,0.24114417,1.7788026,0.0,-0.046729174,0.008253615,0.29646713,5.0399413,0.096176594,2.9646711,9.771041,1.1858685,0.7411678,6.0,0.8894013158099533
Zakhele Lerato Lepasa,Orlando Pirates FC,517.7,Centre Forward,0.0947524979710578,0.26355726,2.7815335,0.17384584,-0.002963015,0.0062136333,0.34769168,4.5199924,-0.00914166,5.0415297,12.4623375,1.3907667,0.0,4.0,0.3880494920262378
Terrence Dzvukamanja,Orlando Pirates FC,928.13336,Centre Forward,0.1247427381318191,0.35078853,2.8120959,0.67878175,-0.036987916,0.13478035,1.1636258,7.6605372,0.018551882,2.3272517,25.539091,2.230283,0.5818129,6.0,0.5818129631322095
Mxolisi Macuphu,Royal AM FC,974.78326,Centre Forward,0.2774406539069282,0.23054041,0.83095396,0.09232821,-0.1407837,0.07993245,1.3849232,5.262708,-0.029353663,3.416144,9.135077,3.3238158,0.18465643,3.0,0.27698465274203266
Bienvenu Eva Nga,Orlando Pirates FC,536.8833,Centre Forward,0.122084067418025,0.26605102,2.1792445,0.1676342,-0.12478015,0.034810588,0.50290257,4.8613915,0.009342606,4.190855,17.231508,2.6821473,0.83817095,9.0,1.5087077582781956
Augustine Chidi Kwem,AmaZulu FC,1190.7999,Centre Forward,0.0909189383188883,0.18553329,2.0406451,0.1511589,-0.043854594,0.0755154,0.90695333,7.1044683,0.024445873,3.9301312,11.401282,2.2673833,0.07557945,11.0,0.8313738732900057
Khama Billiat,Kaizer Chiefs FC,752.8167,Centre Forward,0.0916920840740203,0.21923763,2.3910203,0.0,-0.015630255,0.24810438,1.7932652,7.2926116,-0.05528718,2.7496734,16.011799,0.5977551,0.35865304,6.0,0.7173060852661743
Haashim Domingo,Mamelodi Sundowns FC,850.0499,Right Centre Forward,0.1414007147153218,0.35930303,2.5410273,0.3176284,-0.06574729,0.07897365,0.5293807,5.293807,0.019169066,2.6469035,27.780523,0.42350453,0.5293807,6.0,0.6352568168614947
Peter Shalulile,Mamelodi Sundowns FC,1794.5834,Right Centre Forward,0.1600988888349689,0.48977548,3.059206,0.601811,-0.09307675,0.09521785,1.1534711,9.027164,0.092901155,3.1093569,13.575483,0.6519619,0.050150916,41.0,2.0561874793628987
Ryan Moon,Lamontville Golden Arrows FC,1061.6501,Centre Forward,0.1012975802788367,0.3349074,3.306174,0.42386845,-0.0825983,0.03808913,0.50864214,7.375311,-0.011594893,3.560495,12.627787,4.4082317,0.6781895,10.0,0.8477368773934261
Leletu Skelem,Maritzburg United FC,315.68335,Left Centre Forward,0.0798010900616645,0.09100382,1.1403832,0.0,0.07809888,0.021929432,0.2850958,3.4211495,-0.04608898,3.9913414,9.060651,0.2850958,0.0,,
Waseem Isaacs,Swallows FC,1497.3999,Centre Forward,0.0908057564183285,0.20739661,2.283959,0.120208375,-0.036635883,0.075414956,0.54093766,5.229064,-0.026531406,3.2456262,6.850685,4.2673974,0.18031254,8.0,0.4808334671152282
Ruzaigh Gamildien,Royal AM FC,982.85004,Centre Forward,0.1455211272606482,0.34646124,2.3808312,0.45785215,0.006449995,0.09008862,0.54942256,4.3953805,0.025447076,2.2892606,11.374045,0.9157043,0.18314086,9.0,0.8241338627813456
Kagiso Joseph Malinga,Swallows FC,1106.7499,Right Centre Forward,0.0937666041510445,0.21350068,2.2769372,0.40659595,-0.06426324,0.011217381,0.40659595,4.879151,-0.05096514,2.8461714,10.223708,4.635194,0.08131918,5.0,0.40659592927540295
Tashreeq Morris,Sekhukhune United,378.73337,Centre Forward,0.1058891266584396,0.40260604,3.8021474,0.23763421,-0.05215268,0.14431821,0.95053685,10.455905,-0.0890229,4.9903183,8.552874,4.9903183,0.0,3.0,0.7129025983755088
Thabiso Simon Kutumela,Mamelodi Sundowns FC,305.58334,Left Centre Forward,0.1059877872467041,0.21850766,2.0616307,0.0,-0.035018627,0.09641593,1.1780746,5.5958548,-0.01441258,2.0616307,15.835207,0.0,0.29451865,3.0,0.8835560066272591
Bradley Grobler,SuperSport United FC,2210.3335,Left Centre Forward,0.1677137613296508,0.43705225,2.6059415,0.36646053,-0.046079446,0.060540788,0.73292106,7.0849037,-0.06827427,3.2574267,9.601505,8.143567,0.24430701,10.0,0.40717837560340275
Evans Rusike,Swallows FC,525.6666,Right Centre Forward,0.0369462221860885,0.063256055,1.7121117,0.0,-0.073564835,0.02824203,0.6848447,4.280279,-0.0057448777,4.793913,10.692274,2.054534,0.0,2.0,0.34242236428945644
Iqraam Rayners,Stellenbosch FC,943.6666,Centre Forward,0.1592066162510922,0.5769904,3.6241612,0.858354,0.03812568,0.20762233,2.002826,7.057577,0.0022654382,4.1010246,10.333585,1.0490993,0.09537267,25.0,1.5846372838150662
Thamsanqa Aubrey Gabuza,SuperSport United FC,1102.5001,Right Centre Forward,0.1518975019454956,0.2479959,1.6326529,0.16326529,-0.013367202,0.04219454,0.65306115,7.346938,-0.06135771,3.9999995,10.641848,6.285714,0.24489795,5.0,0.408163231986675
