TSNE1,TSNE2,pos_cat,player_name,competition_name
-9.195582,-4.8154354,M,Kamohelo Mokotjo,PSL
-9.852358,-7.456507,CB,Bongani Zungu,PSL
13.330148,-11.996052,M,Higor Felipe Vidal,PSL
22.509417,0.50625664,W,Tashreeq Matthews,PSL
9.703837,-9.445201,M,Marcelo Ivan Allende Bravo,PSL
28.951408,-10.50069,F,Lucas Ribeiro Costa,PSL
-33.3173,3.2684686,CB,Tapelo Xoki,PSL
-31.27467,1.2023286,CB,Mbongeni Gumede,PSL
-9.4580345,-6.20148,M,Siyethemba Sithebe,PSL
17.643246,5.4533086,M,Andre Ernest De Jong,PSL
9.979161,3.2464936,M,Amigo Luvuyo Memela,PSL
-8.736745,-8.991108,M,Makhehlene Makhaula,PSL
-17.274073,2.2484841,FB,Thembela Sikhakhane,PSL
22.678476,6.0729785,W,Somila Ntsundwana,PSL
-37.86758,2.1739354,CB,Thulani Hlatshwayo,PSL
-31.417957,-2.7734756,CB,Ntsikelelo Nyauza,PSL
25.369251,4.452981,F,Onassis Linda Mntambo,PSL
-8.649039,-5.435514,M,Ben Motshwari,PSL
-8.760458,1.8925911,FB,Fortune Makaringe,PSL
18.713253,-12.105028,W,Kabelo Dlamini,PSL
29.71498,7.217063,F,Zakhele Lerato Lepasa,PSL
-7.2972956,-10.861956,M,Siphesihle Ndlovu,PSL
29.416218,8.579227,M,Terrence Dzvukamanja,PSL
-5.247104,8.880765,FB,Deon Hotto Kavendji,PSL
28.613028,7.6051106,F,Gabadinho Hellings Frank Mhango,PSL
-11.002855,3.4238055,FB,Innocent Maela,PSL
15.65492,-6.6114254,W,Thembinkosi Lorch,PSL
23.364363,-8.347339,F,Thembinkosi Lorch,PSL
-12.694351,11.293249,FB,Wayde  Jooste,PSL
-6.446614,0.93303114,FB,Thabiso James Monyane,PSL
-8.435993,-6.801975,M,Thabang Amod Monare,PSL
-12.105846,-3.3588123,M,Miguel Raoul Timm,PSL
1.5667062,-8.840517,M,Celimpilo Ngema,PSL
-12.272437,-13.606198,FB,Nicholus Lukhubeni,PSL
-13.363191,6.351658,FB,Lebohang Mabotja,PSL
-8.110278,-7.1928883,M,Ndabayithethwa Ndlondlo,PSL
-20.480413,1.3937019,FB,Brandon Junior Theron,PSL
-31.90927,-0.090166636,CB,Spiwe Given Msimango,PSL
12.902247,10.4630785,FB,Tshegofatso Nyama,PSL
14.271855,4.6988497,W,Lindokuhle John Mbatha,PSL
-7.865,-7.927328,M,Mlungisi Mbunjana,PSL
-8.856639,-11.925412,M,Sihle Nduli,PSL
-11.881746,11.170179,FB,Mokete Mogaila,PSL
14.915686,-11.000115,M,Sanele Barns,PSL
29.316175,11.601353,F,Mxolisi Macuphu,PSL
0.9530148,-10.148478,CB,Bathusi Jurry Aubaas,PSL
-12.377486,5.659567,FB,Marks Munyai,PSL
30.278122,9.750937,F,Bienvenu Eva Nga,PSL
-13.461545,11.315703,FB,Riaan Hanamub,PSL
31.241016,3.9279134,F,Augustine Chidi Kwem,PSL
-16.398401,-3.3773549,M,Bernard Parker,PSL
-33.457363,2.420939,CB,Ramahlwe Mphahlele,PSL
-15.839907,6.9985657,FB,Reeve Frosler,PSL
12.013619,6.672796,M,Nkosingiphile Nhlakanipho Ngcobo,PSL
-35.56085,1.1035067,CB,Daniel Cardoso,PSL
13.482144,-1.3937919,M,Lebohang Kgosana Maboe,PSL
-9.530527,-1.1398922,FB,Khuliso Johnson Mudau,PSL
-28.863989,10.685703,CB,Rivaldo Coetzee,PSL
31.788727,-2.3176897,F,Peter Shalulile,PSL
-12.412603,-5.1667595,M,Andile Ernest Jali,PSL
13.987705,-10.759673,M,Lyle Lakay,PSL
14.653432,-4.78486,M,Themba Zwane,PSL
19.88007,9.110761,FB,Thapelo James Morena,PSL
-29.46815,2.3652728,CB,Mosa Lebusa,PSL
2.4411821,-9.578122,M,Sphelele Mkhulise,PSL
-29.863379,10.406263,CB,Mothobi Mvala,PSL
5.484952,-9.997035,FB,Aubrey Maphosa Modiba,PSL
6.819653,-5.941369,M,Jayden Adams,PSL
31.486382,8.49163,F,Ryan Moon,PSL
-19.777838,4.6172824,FB,Alton Zitha Kwinika,PSL
-17.826138,11.315738,CB,Marc van Heerden,PSL
-35.89442,-1.1864173,CB,Sibusiso Mthethwa,PSL
-9.850135,-12.562166,M,Tlakusani Mthethwa,PSL
-16.36979,6.0739474,FB,Thabo Matlaba,PSL
-35.20539,-1.8806815,CB,Njabulo Ngcobo,PSL
18.831215,7.4453254,F,Kagiso Joseph Malinga,PSL
-15.508124,11.0097065,FB,Fawaaz Basadien,PSL
15.582383,5.374757,M,Thabo Nodada,PSL
20.84875,2.3639467,W,Craig Martin,PSL
-31.080036,4.4320383,CB,Taariq Fielies,PSL
-28.37289,1.1367878,CB,Abbubaker Mobara,PSL
-28.542484,3.2734098,CB,Edmilson Gabriel Dove,PSL
-8.55284,-0.41772237,CB,Thamsanqa Innocent Mkhize,PSL
-5.4334126,0.98992914,FB,Terrence Mashego,PSL
-32.61604,2.1381388,CB,Keanu Grégory Cupido,PSL
-5.874765,-14.78945,M,Nhlanhla Mgaga,PSL
-13.130179,-7.4763927,M,Manuel Kambala,PSL
-35.526596,-0.60921067,CB,Vusi Tshepo Sibiya,PSL
27.983751,10.484335,F,Evidence Makgopa,PSL
-14.484124,12.369304,FB,Gadinkame Malebogo Modise,PSL
-14.166235,5.7766356,FB,Nazeer Allie,PSL
-33.662132,2.2126853,CB,Pogiso Sanoka,PSL
13.367687,4.1963444,M,Thabiso Simon Kutumela,PSL
-16.239775,-4.1616497,M,Keagan Wilbur Buchanan,PSL
-36.701584,-0.33785778,CB,Clayton Daniels,PSL
31.252182,7.3360333,F,Bradley Grobler,PSL
16.127619,2.2743025,W,Gamphani Jones Lungu,PSL
-19.139383,8.251729,FB,Onismor Bhasera,PSL
-17.72072,7.7761617,FB,Siyabonga Nhlapo,PSL
13.739212,-10.949941,M,Jamie Craig Webber,PSL
4.0345592,-9.73407,M,Teboho Mokoena,PSL
-16.696833,4.2890673,FB,Keenan Leigh Phillips,PSL
31.122757,-1.2413746,F,Iqraam Rayners,PSL
-8.651208,-10.266095,M,Gape Moralo,PSL
11.214966,1.3564472,M,Oswin Reagan Appollis,PSL
20.338335,0.5367774,M,Júnior Leandro Mendieta,PSL
12.556674,2.406224,F,Ashley Du Preez,PSL
17.712097,-0.28847936,W,Pule Sydney Mmodi,PSL
-29.122364,1.5907071,CB,Nkosinathi Sibisi,PSL
-11.830024,-7.4542203,M,Velemseni Ndwandwe,PSL
-33.00451,-2.0614104,CB,Gladwin Shitolo,PSL
15.052941,1.8416203,M,Lindokuhle Praise Mtshali,PSL
14.807423,9.577142,M,Ntsako Neverdie Makhubela,PSL
11.69656,4.096777,W,Nduduzo Sibiya,PSL
-15.359926,6.489918,FB,Sfiso Sandile Hlanti,PSL
-9.7426815,-9.556275,M,Darrel Matsheke,PSL
-10.083986,-10.543783,M,Sibongiseni Mthethwa,PSL
-10.900196,-10.789432,M,Sibongiseni Mthethwa,PSL
11.122593,2.740999,M,Augustine Kabaso Mulenga,PSL
13.203387,0.90466964,W,Augustine Kabaso Mulenga,PSL
-8.121019,-5.0747414,M,Goodman Mosele,PSL
-16.361181,8.498678,FB,Dean David van Rooyen,PSL
-2.7101214,-17.428192,M,Thabiso Lebitso,PSL
17.429508,8.82586,W,Kayden Francis,PSL
-37.388817,-0.30918604,CB,Kwandakwensizwa Ishmael Mngonyama,PSL
27.42341,6.359809,F,Tshegofatso Mabasa,PSL
32.776436,1.3997707,F,Tshegofatso Mabasa,PSL
12.116952,2.7012577,M,Siphelele Luthuli,PSL
-17.673117,9.455027,FB,Ronald Pfumbidzai,PSL
-34.388477,-0.6254127,CB,Justice Chabalala,PSL
27.653004,10.469002,F,Sepana Victor Letsoalo,PSL
11.797861,4.9298267,W,Menzi Alson Masuku,PSL
29.843477,11.001733,F,Sera Motebang,PSL
9.9386425,-9.014075,M,Neo Maema,PSL
-15.20038,-4.5715575,M,Lantshene Phalane,PSL
-6.5453377,-3.6692097,M,Given Kamogelo Mashikinya,PSL
-13.915454,-6.796644,CB,Shadrack Kobedi,PSL
-14.65635,-2.8693354,M,Sibusiso Victor Magaqa,PSL
-37.72134,1.1427659,CB,MacBeth Kamogelo Mahlangu,PSL
-7.6640015,-10.729532,M,Ethan Duncan Brooks,PSL
-26.489117,11.387602,CB,Thabiso Sesane,PSL
-15.827591,7.0418572,FB,Nyiko Mobbie,PSL
13.239051,1.9259921,M,Luvuyo Phewa,PSL
21.215168,8.289584,M,Ndumiso Mabena,PSL
21.952347,4.490502,F,Justice Figuaredo,PSL
-18.805004,5.7771177,FB,Siphosakhe Ntiya-Ntiya,PSL
2.9111695,-9.666157,M,Sipho Percevale Mbule,PSL
-27.21205,9.623633,CB,Gomolemo Grant Kekana,PSL
-10.766388,-6.2860146,M,Boikanyo Ramathlakwane Komane,PSL
21.384773,7.1619725,M,Knox Mutizwa,PSL
-14.757136,-8.0623045,M,Lungelo Dube,PSL
-31.262186,3.4144678,CB,Thatayaone Ditlhokwe,PSL
-1.040061,-2.0686624,M,Grant Margeman,PSL
-8.535745,-4.3760943,M,Siphesihle Mkhize,PSL
16.833847,5.564478,M,Taahir Goedeman,PSL
18.953709,-2.318842,W,Devon Titus,PSL
1.6762234,-9.392912,M,Thalente Mbatha,PSL
20.239185,1.6605936,W,Sphiwe Prince Mahlangu,PSL
-15.567906,4.9298763,FB,Bongani Sam,PSL
-19.654089,3.2581742,FB,Mashweu Basil Mphahlele,PSL
27.494059,5.906705,F,Samir Nurkovic,PSL
14.6374,6.490377,M,Ayabulela Konqobe,PSL
-30.673264,-4.2817426,CB,Siyanda Xulu,PSL
15.474691,-10.64253,FB,Darwin Jesús González Mendoza,PSL
17.902956,-4.896452,W,Antonio Van Wyk,PSL
19.333519,0.036138456,FB,Jaeden Rhodes,PSL
-7.3615537,-3.226545,M,Edson Daniel Castillo García,PSL
31.974684,10.298539,F,Elmo Kambindu,PSL
-9.166642,-6.9619317,M,Fidèle Brice Ambina,PSL
14.435129,-1.009713,M,Orebotse Mongae,PSL
-34.436333,-0.11993247,CB,Simphiwe Fortune Mcineka,PSL
-15.077678,8.171912,FB,Tshepo Wilson Mabua,PSL
-17.52083,6.570489,FB,Lwandile Sandile Mabuya,PSL
-0.62500656,9.820785,FB,Katlego Jackson Maphathe,PSL
30.196455,5.8530493,F,Khanyisa Mayo,PSL
-33.47035,0.30424663,CB,Lorenzo Joao Gordinho,PSL
-3.069846,-12.305701,M,Genino Palace,PSL
15.1124325,5.7435613,W,Hendrick Ekstein,PSL
19.264029,4.7860193,W,Tshepang Moremi,PSL
-8.189872,-3.781217,M,Mpho Mvelase,PSL
-3.1449757,-2.0942569,M,Thato Khiba,PSL
-32.28856,-0.9580384,CB,Austin Thabani Dube,PSL
17.379723,-4.1441245,W,Monnapule Kenneth Saleng,PSL
16.02122,6.6339054,M,Kabelo Mahlasela,PSL
-33.340775,-4.1342626,CB,Lesego Samuel Manganyi,PSL
14.550567,0.33328786,W,Vusimuzi William Mncube,PSL
-7.015422,-7.2026124,M,Moegamat Yusuf Maart,PSL
-11.337763,1.1008819,FB,Zuko Mdunyelwa,PSL
-9.290356,-0.9046814,FB,Zuko Mdunyelwa,PSL
-34.459343,-1.4156072,CB,Roscoe Heinrich Pietersen,PSL
-33.14478,-2.594795,CB,Themba Mantshiyane,PSL
-12.8215475,8.027971,FB,Sbonelo Cele,PSL
-12.392704,-6.9000545,M,Nqobeko Siphelele Dlamini,PSL
-12.225219,8.486706,FB,Kganyane Solomon Letsoenyo,PSL
29.119186,9.236908,F,Douglas Mapfumo,PSL
-12.496304,-3.3332062,M,Relebogile Mokhuoane,PSL
29.30356,8.055044,F,Chibuike Ohizu,PSL
-34.855644,-4.194524,CB,Lubeni Haukongo,PSL
27.127869,7.926465,F,Sede Junior Dion,PSL
25.910553,8.2699,F,Khuda Muyaba,PSL
-12.24236,-10.132562,M,Aprocious Petrus,PSL
-31.840391,2.9053776,CB,Olisa Harold Ndah,PSL
-34.017464,-3.212557,CB,Sikhethele Wandile Mabuza,PSL
-10.411212,-1.1175011,FB,Abdelmounaim Boutouil,PSL
12.896625,8.612208,W,Mfundo Langa Thikazi,PSL
27.963955,9.195033,F,Sedwyn Curtis George,PSL
-14.978184,4.937996,FB,Bradley Cross,PSL
-11.12825,-5.9778876,M,Jeffrey Mzwandile Dlamini,PSL
